Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Gabon	GAB	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															39.87521416					39.63375958					40.68072459					34.2638191					34.68608642	36.03952388	36.33613926	36.82280925	38.37100273	46.8493988	47.39460459	
United Kingdom	GBR	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															14.49462387					13.49117062					12.6873433					12.04385326					11.81279093	11.84118031	12.0581285	12.03398615	12.10009135	11.54647834	11.52028708	
Georgia	GEO	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															18.4505805					15.14346513					15.7141755					16.52508618					20.18089114	19.82876918	18.24222763	19.27200038	19.95653533	20.65877042	20.73469811	
Ghana	GHA	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															38.26246528					37.25466245					36.51177888					27.11002356					27.36923467	29.82649418	31.14770733	27.54062519	25.35736494	52.08164538	54.24258644	
Gibraltar	GIB	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																																																										
Guinea	GIN	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															30.67275396					30.55690308					30.60681896					26.25380472					29.85396369	31.56254677	29.80558077	27.59389372	24.97530824	44.54593968	46.14092124	
"Gambia, The"	GMB	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															66.30067137					67.56722912					66.89988823					50.52084054					60.8082427	61.33203144	57.61659951	62.3219572	59.44258905	93.52615251	95.04387071	
Guinea-Bissau	GNB	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															42.01388959					41.76754712					41.79025576					30.85131678					37.16174193	38.00647417	35.24015628	35.26529394	33.99979416	57.0180113	59.16484482	
Equatorial Guinea	GNQ	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															46.86056243					47.17438371					53.59755937					41.06320396					42.81012868	46.5631495	46.1882722	45.71519832	46.69405811	69.06831572	71.17976196	
Greece	GRC	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															13.52606693					12.48765193					12.00997637					10.64788805					11.65492906	11.42753118	11.19010465	12.03058428	12.68018933	11.3746771	11.29831318	
